question_id,setting,category,retrieval_mode,use_reranker,use_lora,latency_seconds
demo_q001,baseline,fact_qa,dense,False,False,6.3792
demo_q002,baseline,fact_qa,dense,False,False,6.3301
demo_q003,baseline,fact_qa,dense,False,False,7.8496
demo_q004,baseline,fact_qa,dense,False,False,9.787
demo_q005,baseline,fact_qa,dense,False,False,6.1972
demo_q006,baseline,fact_qa,dense,False,False,6.9637
demo_q007,baseline,fact_qa,dense,False,False,29.4353
demo_q008,baseline,fact_qa,dense,False,False,5.3187
demo_q009,baseline,fact_qa,dense,False,False,44.543
demo_q010,baseline,fact_qa,dense,False,False,23.969
demo_q011,baseline,fact_qa,dense,False,False,24.3418
demo_q012,baseline,fact_qa,dense,False,False,36.3228
demo_q013,baseline,fact_qa,dense,False,False,25.1976
demo_q014,baseline,fact_qa,dense,False,False,49.2215
demo_q015,baseline,fact_qa,dense,False,False,39.9687
demo_q016,baseline,analysis,dense,False,False,5.1709
demo_q017,baseline,analysis,dense,False,False,5.0573
demo_q018,baseline,analysis,dense,False,False,34.0872
demo_q019,baseline,analysis,dense,False,False,6.2193
demo_q020,baseline,analysis,dense,False,False,5.6014
demo_q021,baseline,analysis,dense,False,False,32.9465
demo_q022,baseline,analysis,dense,False,False,22.6389
demo_q023,baseline,analysis,dense,False,False,43.5922
demo_q024,baseline,analysis,dense,False,False,5.492
demo_q025,baseline,analysis,dense,False,False,24.2435
demo_q026,baseline,analysis,dense,False,False,29.18
demo_q027,baseline,risk_summary,dense,False,False,25.0332
demo_q028,baseline,risk_summary,dense,False,False,33.1868
demo_q029,baseline,risk_summary,dense,False,False,23.8934
demo_q030,baseline,risk_summary,dense,False,False,27.89
demo_q031,baseline,risk_summary,dense,False,False,26.5645
demo_q032,baseline,risk_summary,dense,False,False,4.6429
demo_q033,baseline,risk_summary,dense,False,False,5.6541
demo_q034,baseline,risk_summary,dense,False,False,7.8987
demo_q035,baseline,risk_summary,dense,False,False,25.9538
demo_q036,baseline,risk_summary,dense,False,False,6.5882
demo_q037,baseline,investment_advice,dense,False,False,6.3106
demo_q038,baseline,investment_advice,dense,False,False,7.0148
demo_q039,baseline,investment_advice,dense,False,False,7.0852
demo_q040,baseline,investment_advice,dense,False,False,4.3679
demo_q001,with_reranker,fact_qa,dense,True,False,21.1521
demo_q002,with_reranker,fact_qa,dense,True,False,11.7993
demo_q003,with_reranker,fact_qa,dense,True,False,9.5793
demo_q004,with_reranker,fact_qa,dense,True,False,25.003
demo_q005,with_reranker,fact_qa,dense,True,False,24.4706
demo_q006,with_reranker,fact_qa,dense,True,False,17.0387
demo_q007,with_reranker,fact_qa,dense,True,False,9.7439
demo_q008,with_reranker,fact_qa,dense,True,False,9.4601
demo_q009,with_reranker,fact_qa,dense,True,False,10.0624
demo_q010,with_reranker,fact_qa,dense,True,False,14.7525
demo_q011,with_reranker,fact_qa,dense,True,False,9.2103
demo_q012,with_reranker,fact_qa,dense,True,False,12.3209
demo_q013,with_reranker,fact_qa,dense,True,False,7.1544
demo_q014,with_reranker,fact_qa,dense,True,False,10.7886
demo_q015,with_reranker,fact_qa,dense,True,False,8.4014
demo_q016,with_reranker,analysis,dense,True,False,10.4381
demo_q017,with_reranker,analysis,dense,True,False,11.6489
demo_q018,with_reranker,analysis,dense,True,False,11.4722
demo_q019,with_reranker,analysis,dense,True,False,9.0669
demo_q020,with_reranker,analysis,dense,True,False,21.7318
demo_q021,with_reranker,analysis,dense,True,False,7.8149
demo_q022,with_reranker,analysis,dense,True,False,8.9139
demo_q023,with_reranker,analysis,dense,True,False,11.0014
demo_q024,with_reranker,analysis,dense,True,False,8.1749
demo_q025,with_reranker,analysis,dense,True,False,9.8443
demo_q026,with_reranker,analysis,dense,True,False,7.2906
demo_q027,with_reranker,risk_summary,dense,True,False,8.9387
demo_q028,with_reranker,risk_summary,dense,True,False,8.4529
demo_q029,with_reranker,risk_summary,dense,True,False,7.6474
demo_q030,with_reranker,risk_summary,dense,True,False,8.3171
demo_q031,with_reranker,risk_summary,dense,True,False,9.8284
demo_q032,with_reranker,risk_summary,dense,True,False,7.5852
demo_q033,with_reranker,risk_summary,dense,True,False,7.4673
demo_q034,with_reranker,risk_summary,dense,True,False,20.7011
demo_q035,with_reranker,risk_summary,dense,True,False,7.1305
demo_q036,with_reranker,risk_summary,dense,True,False,13.284
demo_q037,with_reranker,investment_advice,dense,True,False,5.3586
demo_q038,with_reranker,investment_advice,dense,True,False,5.05
demo_q039,with_reranker,investment_advice,dense,True,False,4.9957
demo_q040,with_reranker,investment_advice,dense,True,False,3.7447
demo_q001,with_lora,fact_qa,dense,True,True,26.67
demo_q002,with_lora,fact_qa,dense,True,True,22.9355
demo_q003,with_lora,fact_qa,dense,True,True,21.6854
demo_q004,with_lora,fact_qa,dense,True,True,55.9285
demo_q005,with_lora,fact_qa,dense,True,True,24.6893
demo_q006,with_lora,fact_qa,dense,True,True,30.2841
demo_q007,with_lora,fact_qa,dense,True,True,24.1855
demo_q008,with_lora,fact_qa,dense,True,True,23.9099
demo_q009,with_lora,fact_qa,dense,True,True,56.7572
demo_q010,with_lora,fact_qa,dense,True,True,29.4985
demo_q011,with_lora,fact_qa,dense,True,True,49.6096
demo_q012,with_lora,fact_qa,dense,True,True,21.5569
demo_q013,with_lora,fact_qa,dense,True,True,21.3072
demo_q014,with_lora,fact_qa,dense,True,True,58.9008
demo_q015,with_lora,fact_qa,dense,True,True,20.3897
demo_q016,with_lora,analysis,dense,True,True,20.4196
demo_q017,with_lora,analysis,dense,True,True,20.4952
demo_q018,with_lora,analysis,dense,True,True,32.6303
demo_q019,with_lora,analysis,dense,True,True,28.8526
demo_q020,with_lora,analysis,dense,True,True,20.6485
demo_q021,with_lora,analysis,dense,True,True,21.9088
demo_q022,with_lora,analysis,dense,True,True,26.2302
demo_q023,with_lora,analysis,dense,True,True,25.7888
demo_q024,with_lora,analysis,dense,True,True,27.7837
demo_q025,with_lora,analysis,dense,True,True,46.6524
demo_q026,with_lora,analysis,dense,True,True,55.3649
demo_q027,with_lora,risk_summary,dense,True,True,19.7524
demo_q028,with_lora,risk_summary,dense,True,True,26.3888
demo_q029,with_lora,risk_summary,dense,True,True,19.224
demo_q030,with_lora,risk_summary,dense,True,True,27.3104
