question_id,setting,generator,category,retrieval_mode,use_reranker,latency_seconds
demo_q001,dense,deepseek,fact_qa,dense,False,3.2038
demo_q002,dense,deepseek,fact_qa,dense,False,3.1907
demo_q003,dense,deepseek,fact_qa,dense,False,2.7775
demo_q004,dense,deepseek,fact_qa,dense,False,5.3007
demo_q005,dense,deepseek,fact_qa,dense,False,3.7637
demo_q006,dense,deepseek,fact_qa,dense,False,3.434
demo_q007,dense,deepseek,fact_qa,dense,False,3.5049
demo_q008,dense,deepseek,fact_qa,dense,False,3.2893
demo_q009,dense,deepseek,fact_qa,dense,False,5.1796
demo_q010,dense,deepseek,fact_qa,dense,False,3.9337
demo_q011,dense,deepseek,fact_qa,dense,False,3.9382
demo_q012,dense,deepseek,fact_qa,dense,False,4.3066
demo_q013,dense,deepseek,fact_qa,dense,False,3.7296
demo_q014,dense,deepseek,fact_qa,dense,False,2.9496
demo_q015,dense,deepseek,fact_qa,dense,False,4.7797
demo_q016,dense,deepseek,analysis,dense,False,4.3486
demo_q017,dense,deepseek,analysis,dense,False,4.1052
demo_q018,dense,deepseek,analysis,dense,False,4.5502
demo_q019,dense,deepseek,analysis,dense,False,6.5035
demo_q020,dense,deepseek,analysis,dense,False,2.7495
demo_q021,dense,deepseek,analysis,dense,False,3.9436
demo_q022,dense,deepseek,analysis,dense,False,2.5398
demo_q023,dense,deepseek,analysis,dense,False,3.9551
demo_q024,dense,deepseek,analysis,dense,False,3.4151
demo_q025,dense,deepseek,analysis,dense,False,3.8772
demo_q026,dense,deepseek,analysis,dense,False,3.6602
demo_q027,dense,deepseek,risk_summary,dense,False,7.0747
demo_q028,dense,deepseek,risk_summary,dense,False,3.1421
demo_q029,dense,deepseek,risk_summary,dense,False,3.2664
demo_q030,dense,deepseek,risk_summary,dense,False,4.8324
demo_q031,dense,deepseek,risk_summary,dense,False,4.5541
demo_q032,dense,deepseek,risk_summary,dense,False,4.4622
demo_q033,dense,deepseek,risk_summary,dense,False,4.2107
demo_q034,dense,deepseek,risk_summary,dense,False,4.9176
demo_q035,dense,deepseek,risk_summary,dense,False,6.3464
demo_q036,dense,deepseek,risk_summary,dense,False,6.2273
demo_q037,dense,deepseek,investment_advice,dense,False,3.9501
demo_q038,dense,deepseek,investment_advice,dense,False,2.9328
demo_q039,dense,deepseek,investment_advice,dense,False,4.2702
demo_q040,dense,deepseek,investment_advice,dense,False,3.4527
demo_q001,dense_reranker,deepseek,fact_qa,dense,True,5.4165
demo_q002,dense_reranker,deepseek,fact_qa,dense,True,3.0924
demo_q003,dense_reranker,deepseek,fact_qa,dense,True,3.3174
demo_q004,dense_reranker,deepseek,fact_qa,dense,True,4.9695
demo_q005,dense_reranker,deepseek,fact_qa,dense,True,5.5022
demo_q006,dense_reranker,deepseek,fact_qa,dense,True,4.2693
demo_q007,dense_reranker,deepseek,fact_qa,dense,True,7.7364
demo_q008,dense_reranker,deepseek,fact_qa,dense,True,3.3019
demo_q009,dense_reranker,deepseek,fact_qa,dense,True,3.5287
demo_q010,dense_reranker,deepseek,fact_qa,dense,True,3.8018
demo_q011,dense_reranker,deepseek,fact_qa,dense,True,3.8892
demo_q012,dense_reranker,deepseek,fact_qa,dense,True,5.3224
demo_q013,dense_reranker,deepseek,fact_qa,dense,True,4.4093
demo_q014,dense_reranker,deepseek,fact_qa,dense,True,2.7765
demo_q015,dense_reranker,deepseek,fact_qa,dense,True,4.209
demo_q016,dense_reranker,deepseek,analysis,dense,True,6.5879
demo_q017,dense_reranker,deepseek,analysis,dense,True,4.982
demo_q018,dense_reranker,deepseek,analysis,dense,True,5.3698
demo_q019,dense_reranker,deepseek,analysis,dense,True,4.1888
demo_q020,dense_reranker,deepseek,analysis,dense,True,5.8967
demo_q021,dense_reranker,deepseek,analysis,dense,True,4.5863
demo_q022,dense_reranker,deepseek,analysis,dense,True,3.5872
demo_q023,dense_reranker,deepseek,analysis,dense,True,5.682
demo_q024,dense_reranker,deepseek,analysis,dense,True,3.2857
demo_q025,dense_reranker,deepseek,analysis,dense,True,4.9986
demo_q026,dense_reranker,deepseek,analysis,dense,True,4.2405
demo_q027,dense_reranker,deepseek,risk_summary,dense,True,6.6379
demo_q028,dense_reranker,deepseek,risk_summary,dense,True,3.8429
demo_q029,dense_reranker,deepseek,risk_summary,dense,True,3.6639
demo_q030,dense_reranker,deepseek,risk_summary,dense,True,6.3601
demo_q031,dense_reranker,deepseek,risk_summary,dense,True,6.0987
demo_q032,dense_reranker,deepseek,risk_summary,dense,True,6.5921
demo_q033,dense_reranker,deepseek,risk_summary,dense,True,3.6827
demo_q034,dense_reranker,deepseek,risk_summary,dense,True,7.4359
demo_q035,dense_reranker,deepseek,risk_summary,dense,True,5.4403
demo_q036,dense_reranker,deepseek,risk_summary,dense,True,6.7692
demo_q037,dense_reranker,deepseek,investment_advice,dense,True,3.6855
demo_q038,dense_reranker,deepseek,investment_advice,dense,True,4.3858
demo_q039,dense_reranker,deepseek,investment_advice,dense,True,3.6349
demo_q040,dense_reranker,deepseek,investment_advice,dense,True,3.5528
demo_q001,hybrid_reranker,deepseek,fact_qa,hybrid,True,4.7672
demo_q002,hybrid_reranker,deepseek,fact_qa,hybrid,True,3.9485
demo_q003,hybrid_reranker,deepseek,fact_qa,hybrid,True,3.4611
demo_q004,hybrid_reranker,deepseek,fact_qa,hybrid,True,4.4821
demo_q005,hybrid_reranker,deepseek,fact_qa,hybrid,True,4.3415
demo_q006,hybrid_reranker,deepseek,fact_qa,hybrid,True,4.8822
demo_q007,hybrid_reranker,deepseek,fact_qa,hybrid,True,5.4378
demo_q008,hybrid_reranker,deepseek,fact_qa,hybrid,True,3.7758
demo_q009,hybrid_reranker,deepseek,fact_qa,hybrid,True,4.003
demo_q010,hybrid_reranker,deepseek,fact_qa,hybrid,True,4.2892
demo_q011,hybrid_reranker,deepseek,fact_qa,hybrid,True,4.1829
demo_q012,hybrid_reranker,deepseek,fact_qa,hybrid,True,4.6407
demo_q013,hybrid_reranker,deepseek,fact_qa,hybrid,True,3.8992
demo_q014,hybrid_reranker,deepseek,fact_qa,hybrid,True,3.2527
demo_q015,hybrid_reranker,deepseek,fact_qa,hybrid,True,5.4315
demo_q016,hybrid_reranker,deepseek,analysis,hybrid,True,6.854
demo_q017,hybrid_reranker,deepseek,analysis,hybrid,True,5.6092
demo_q018,hybrid_reranker,deepseek,analysis,hybrid,True,4.0875
demo_q019,hybrid_reranker,deepseek,analysis,hybrid,True,4.6113
demo_q020,hybrid_reranker,deepseek,analysis,hybrid,True,4.8672
demo_q021,hybrid_reranker,deepseek,analysis,hybrid,True,3.9963
demo_q022,hybrid_reranker,deepseek,analysis,hybrid,True,3.2464
demo_q023,hybrid_reranker,deepseek,analysis,hybrid,True,4.1068
demo_q024,hybrid_reranker,deepseek,analysis,hybrid,True,5.169
demo_q025,hybrid_reranker,deepseek,analysis,hybrid,True,4.6883
demo_q026,hybrid_reranker,deepseek,analysis,hybrid,True,4.2013
demo_q027,hybrid_reranker,deepseek,risk_summary,hybrid,True,7.2895
demo_q028,hybrid_reranker,deepseek,risk_summary,hybrid,True,3.8837
demo_q029,hybrid_reranker,deepseek,risk_summary,hybrid,True,2.9579
demo_q030,hybrid_reranker,deepseek,risk_summary,hybrid,True,4.9628
demo_q031,hybrid_reranker,deepseek,risk_summary,hybrid,True,5.2329
demo_q032,hybrid_reranker,deepseek,risk_summary,hybrid,True,5.9119
demo_q033,hybrid_reranker,deepseek,risk_summary,hybrid,True,4.0677
demo_q034,hybrid_reranker,deepseek,risk_summary,hybrid,True,4.8092
demo_q035,hybrid_reranker,deepseek,risk_summary,hybrid,True,4.3008
demo_q036,hybrid_reranker,deepseek,risk_summary,hybrid,True,5.5653
demo_q037,hybrid_reranker,deepseek,investment_advice,hybrid,True,3.5928
demo_q038,hybrid_reranker,deepseek,investment_advice,hybrid,True,3.5102
demo_q039,hybrid_reranker,deepseek,investment_advice,hybrid,True,3.1539
demo_q040,hybrid_reranker,deepseek,investment_advice,hybrid,True,3.1435
