question_id,setting,generator,category,retrieval_mode,use_reranker,latency_seconds
demo_q001,dense,qwen,fact_qa,dense,False,26.3178
demo_q002,dense,qwen,fact_qa,dense,False,34.4156
demo_q003,dense,qwen,fact_qa,dense,False,53.0943
demo_q004,dense,qwen,fact_qa,dense,False,56.4256
demo_q005,dense,qwen,fact_qa,dense,False,32.2606
demo_q006,dense,qwen,fact_qa,dense,False,33.1394
demo_q007,dense,qwen,fact_qa,dense,False,46.6339
demo_q008,dense,qwen,fact_qa,dense,False,28.338
demo_q009,dense,qwen,fact_qa,dense,False,28.1294
demo_q010,dense,qwen,fact_qa,dense,False,26.6966
demo_q011,dense,qwen,fact_qa,dense,False,26.4867
demo_q012,dense,qwen,fact_qa,dense,False,55.1603
demo_q013,dense,qwen,fact_qa,dense,False,39.7888
demo_q014,dense,qwen,fact_qa,dense,False,30.3463
demo_q015,dense,qwen,fact_qa,dense,False,22.9383
demo_q016,dense,qwen,analysis,dense,False,27.6478
demo_q017,dense,qwen,analysis,dense,False,44.078
demo_q018,dense,qwen,analysis,dense,False,22.3299
demo_q019,dense,qwen,analysis,dense,False,21.9339
demo_q020,dense,qwen,analysis,dense,False,20.2724
demo_q021,dense,qwen,analysis,dense,False,24.1452
demo_q022,dense,qwen,analysis,dense,False,25.9714
demo_q023,dense,qwen,analysis,dense,False,23.1427
demo_q024,dense,qwen,analysis,dense,False,22.9887
demo_q025,dense,qwen,analysis,dense,False,23.7511
demo_q026,dense,qwen,analysis,dense,False,55.2332
demo_q027,dense,qwen,risk_summary,dense,False,21.5636
demo_q028,dense,qwen,risk_summary,dense,False,22.7672
demo_q029,dense,qwen,risk_summary,dense,False,20.5
demo_q030,dense,qwen,risk_summary,dense,False,19.0674
demo_q031,dense,qwen,risk_summary,dense,False,28.9518
demo_q032,dense,qwen,risk_summary,dense,False,26.2155
demo_q033,dense,qwen,risk_summary,dense,False,28.392
demo_q034,dense,qwen,risk_summary,dense,False,53.0387
demo_q035,dense,qwen,risk_summary,dense,False,23.8631
demo_q036,dense,qwen,risk_summary,dense,False,26.1881
demo_q037,dense,qwen,investment_advice,dense,False,33.6479
demo_q038,dense,qwen,investment_advice,dense,False,39.4118
demo_q039,dense,qwen,investment_advice,dense,False,36.5262
demo_q040,dense,qwen,investment_advice,dense,False,35.7215
demo_q001,dense_reranker,qwen,fact_qa,dense,True,31.5251
demo_q002,dense_reranker,qwen,fact_qa,dense,True,24.9295
demo_q003,dense_reranker,qwen,fact_qa,dense,True,25.8165
demo_q004,dense_reranker,qwen,fact_qa,dense,True,46.0239
demo_q005,dense_reranker,qwen,fact_qa,dense,True,22.164
demo_q006,dense_reranker,qwen,fact_qa,dense,True,22.5466
demo_q007,dense_reranker,qwen,fact_qa,dense,True,49.3
demo_q008,dense_reranker,qwen,fact_qa,dense,True,28.1609
demo_q009,dense_reranker,qwen,fact_qa,dense,True,26.7588
demo_q010,dense_reranker,qwen,fact_qa,dense,True,57.1739
demo_q011,dense_reranker,qwen,fact_qa,dense,True,31.2394
demo_q012,dense_reranker,qwen,fact_qa,dense,True,22.2319
demo_q013,dense_reranker,qwen,fact_qa,dense,True,39.7301
demo_q014,dense_reranker,qwen,fact_qa,dense,True,23.9179
demo_q015,dense_reranker,qwen,fact_qa,dense,True,22.3407
demo_q016,dense_reranker,qwen,analysis,dense,True,23.0991
demo_q017,dense_reranker,qwen,analysis,dense,True,50.6553
demo_q018,dense_reranker,qwen,analysis,dense,True,30.9919
demo_q019,dense_reranker,qwen,analysis,dense,True,41.3438
demo_q020,dense_reranker,qwen,analysis,dense,True,19.991
demo_q021,dense_reranker,qwen,analysis,dense,True,39.4697
demo_q022,dense_reranker,qwen,analysis,dense,True,15.0345
demo_q023,dense_reranker,qwen,analysis,dense,True,20.4069
demo_q024,dense_reranker,qwen,analysis,dense,True,23.8414
demo_q025,dense_reranker,qwen,analysis,dense,True,23.0904
demo_q026,dense_reranker,qwen,analysis,dense,True,21.5256
demo_q027,dense_reranker,qwen,risk_summary,dense,True,40.1199
demo_q028,dense_reranker,qwen,risk_summary,dense,True,53.4035
demo_q029,dense_reranker,qwen,risk_summary,dense,True,13.6688
demo_q030,dense_reranker,qwen,risk_summary,dense,True,21.6026
demo_q031,dense_reranker,qwen,risk_summary,dense,True,44.1482
demo_q032,dense_reranker,qwen,risk_summary,dense,True,32.6254
demo_q033,dense_reranker,qwen,risk_summary,dense,True,24.5088
demo_q034,dense_reranker,qwen,risk_summary,dense,True,54.9287
demo_q035,dense_reranker,qwen,risk_summary,dense,True,46.7519
demo_q036,dense_reranker,qwen,risk_summary,dense,True,22.681
demo_q037,dense_reranker,qwen,investment_advice,dense,True,26.6365
demo_q038,dense_reranker,qwen,investment_advice,dense,True,39.5237
demo_q039,dense_reranker,qwen,investment_advice,dense,True,42.411
demo_q040,dense_reranker,qwen,investment_advice,dense,True,38.1916
demo_q001,hybrid_reranker,qwen,fact_qa,hybrid,True,29.4794
demo_q002,hybrid_reranker,qwen,fact_qa,hybrid,True,24.3071
demo_q003,hybrid_reranker,qwen,fact_qa,hybrid,True,28.5778
demo_q004,hybrid_reranker,qwen,fact_qa,hybrid,True,44.7295
demo_q005,hybrid_reranker,qwen,fact_qa,hybrid,True,22.0478
demo_q006,hybrid_reranker,qwen,fact_qa,hybrid,True,26.3543
demo_q007,hybrid_reranker,qwen,fact_qa,hybrid,True,49.9195
demo_q008,hybrid_reranker,qwen,fact_qa,hybrid,True,26.1462
demo_q009,hybrid_reranker,qwen,fact_qa,hybrid,True,24.8701
demo_q010,hybrid_reranker,qwen,fact_qa,hybrid,True,27.3689
demo_q011,hybrid_reranker,qwen,fact_qa,hybrid,True,39.6161
demo_q012,hybrid_reranker,qwen,fact_qa,hybrid,True,22.0833
demo_q013,hybrid_reranker,qwen,fact_qa,hybrid,True,26.8796
demo_q014,hybrid_reranker,qwen,fact_qa,hybrid,True,29.1743
demo_q015,hybrid_reranker,qwen,fact_qa,hybrid,True,33.1067
demo_q016,hybrid_reranker,qwen,analysis,hybrid,True,23.5073
demo_q017,hybrid_reranker,qwen,analysis,hybrid,True,49.4992
demo_q018,hybrid_reranker,qwen,analysis,hybrid,True,31.4112
demo_q019,hybrid_reranker,qwen,analysis,hybrid,True,22.7883
demo_q020,hybrid_reranker,qwen,analysis,hybrid,True,24.1962
demo_q021,hybrid_reranker,qwen,analysis,hybrid,True,21.2894
demo_q022,hybrid_reranker,qwen,analysis,hybrid,True,15.4024
demo_q023,hybrid_reranker,qwen,analysis,hybrid,True,20.4645
demo_q024,hybrid_reranker,qwen,analysis,hybrid,True,24.1693
demo_q025,hybrid_reranker,qwen,analysis,hybrid,True,22.8211
demo_q026,hybrid_reranker,qwen,analysis,hybrid,True,18.831
demo_q027,hybrid_reranker,qwen,risk_summary,hybrid,True,24.3143
demo_q028,hybrid_reranker,qwen,risk_summary,hybrid,True,23.3599
demo_q029,hybrid_reranker,qwen,risk_summary,hybrid,True,17.9305
demo_q030,hybrid_reranker,qwen,risk_summary,hybrid,True,21.9881
demo_q031,hybrid_reranker,qwen,risk_summary,hybrid,True,27.502
demo_q032,hybrid_reranker,qwen,risk_summary,hybrid,True,31.8307
demo_q033,hybrid_reranker,qwen,risk_summary,hybrid,True,20.8179
demo_q034,hybrid_reranker,qwen,risk_summary,hybrid,True,29.2875
demo_q035,hybrid_reranker,qwen,risk_summary,hybrid,True,32.8785
demo_q036,hybrid_reranker,qwen,risk_summary,hybrid,True,22.3094
demo_q037,hybrid_reranker,qwen,investment_advice,hybrid,True,26.7698
demo_q038,hybrid_reranker,qwen,investment_advice,hybrid,True,42.1316
demo_q039,hybrid_reranker,qwen,investment_advice,hybrid,True,35.137
demo_q040,hybrid_reranker,qwen,investment_advice,hybrid,True,54.5582
